ID	Prod1	Prod2	Prod3	Prod4	Prod5	Prod6	Prod7	Prod8	Prod9	Prod10
1	21	80	37	27	5	38	55	7	4	54
2	23	83	37	30	12	32	61	10	9	48
3	22	96	35	28	3	32	64	6	4	50
4	71	58	34	26	6	88	13	1	0	20
5	22	84	32	29	14	31	52	19	4	48
6	73	63	33	28	15	86	15	2	2	17
7	21	66	31	28	6	32	57	17	4	58
8	72	56	36	27	10	88	16	5	0	9
9	72	61	33	29	6	84	17	4	1	10
10	75	59	36	27	20	86	11	3	1	20
11	71	70	37	28	3	87	13	3	1	12
12	23	87	31	27	10	39	57	10	1	52
13	22	78	37	26	19	31	55	18	2	48
14	71	56	34	28	7	83	19	5	1	10
15	1	71	37	27	8	0	12	25	57	21
16	72	91	33	29	1	84	19	3	2	7
17	75	53	33	27	14	83	17	3	0	1
18	73	64	32	27	15	85	16	3	0	18
19	21	84	37	30	2	31	56	19	3	56
20	22	99	34	28	9	36	52	10	1	55
21	72	78	31	27	13	86	20	4	2	8
22	71	95	36	30	5	82	15	2	1	3
23	71	71	37	30	14	82	13	1	2	1
24	23	88	35	27	12	34	53	14	3	58
25	23	56	37	26	20	37	56	12	10	50
26	22	57	35	29	7	39	58	7	1	60
27	74	51	34	27	18	89	15	4	1	12
28	23	95	33	30	7	31	62	20	10	49
29	23	60	36	27	12	40	51	18	7	49
30	73	53	31	27	3	86	16	3	1	7
31	72	77	36	29	1	84	18	3	1	7
32	74	69	31	26	9	83	13	4	0	11
33	1	63	34	27	14	5	1	47	33	29
34	71	93	37	28	15	90	17	1	0	17
35	74	99	33	29	14	88	18	1	0	1
36	71	89	31	28	14	86	11	3	1	10
37	22	71	33	30	4	38	57	16	10	60
38	73	98	31	26	19	90	12	5	1	5
39	73	72	33	27	11	83	15	3	1	11
40	23	82	31	27	19	37	60	11	1	46
41	23	77	35	28	9	39	58	6	4	54
42	0	53	31	27	12	0	8	46	44	12
43	74	54	37	29	5	88	20	5	1	20
44	74	99	34	30	19	83	19	2	2	14
45	72	87	34	29	6	90	18	3	2	12
46	71	66	37	27	1	81	17	5	0	15
47	21	73	32	29	11	31	54	12	4	46
48	73	62	31	30	15	83	14	2	2	10
49	23	97	34	26	9	38	59	14	7	48
50	73	85	34	30	1	81	20	5	0	6
51	1	60	34	27	14	2	1	42	34	18
52	73	74	32	29	6	88	13	2	2	19
53	75	81	36	28	10	82	11	4	1	7
54	72	92	35	26	20	87	18	2	2	7
55	23	84	33	28	5	32	54	13	10	58
56	72	89	36	27	17	87	17	4	2	9
57	73	97	33	28	16	83	14	4	0	2
58	21	100	35	27	5	34	59	18	3	50
59	71	54	37	29	8	89	19	2	2	6
60	72	93	32	28	1	88	13	5	1	12
61	0	64	34	29	5	2	6	30	49	4
62	71	90	37	27	19	81	13	5	0	18
63	22	69	35	29	13	32	55	19	10	48
64	23	65	34	30	12	38	64	12	4	60
65	73	90	37	29	13	88	17	3	2	11
66	73	77	37	26	3	86	16	4	0	14
67	75	74	31	26	7	85	20	4	2	3
68	74	75	35	28	13	88	12	4	2	12
69	72	72	37	29	11	81	11	1	1	9
70	21	93	33	29	18	32	58	20	8	59
71	1	58	37	27	18	4	8	29	34	3
72	71	96	37	26	10	89	20	4	1	12
73	75	60	35	28	12	88	16	4	2	1
74	72	99	33	26	20	83	15	3	2	6
75	74	68	33	26	4	89	15	2	2	2
76	71	77	32	30	9	84	13	4	2	3
77	73	82	36	30	19	83	11	1	0	14
78	23	54	37	27	12	32	55	18	4	46
79	75	72	33	27	6	87	16	2	1	10
80	73	98	36	30	2	87	14	5	1	8
81	73	63	32	29	7	89	12	4	0	4
82	21	53	37	26	11	37	58	8	6	59
83	71	94	36	26	3	90	13	5	1	20
84	21	77	35	26	17	31	65	7	1	48
85	23	87	31	28	5	34	64	18	6	47
86	23	94	31	29	10	32	55	9	10	57
87	71	97	36	27	4	85	19	5	2	5
88	73	66	31	29	13	85	13	2	1	10
89	74	100	34	29	9	83	20	2	2	14
90	2	65	36	30	19	0	7	22	53	29
91	72	56	32	30	1	89	17	4	2	12
92	22	62	33	29	16	37	60	19	6	53
93	75	59	37	28	20	90	11	5	0	13
94	0	67	37	29	5	3	14	27	42	2
95	72	61	34	30	2	84	20	4	0	2
96	72	67	35	30	1	81	19	1	1	18
97	73	71	35	30	9	82	11	2	1	7
98	1	87	32	30	8	5	3	50	52	22
99	72	95	33	28	6	82	11	3	2	2
100	22	71	36	29	14	35	53	11	7	60
101	21	95	35	29	3	33	63	11	7	48
102	22	88	37	28	13	39	59	10	3	50
103	75	58	32	28	15	88	17	2	2	4
104	75	81	37	28	20	81	19	5	1	19
105	74	80	36	27	14	82	15	5	0	10
106	22	79	36	28	14	32	58	16	1	58
107	71	63	35	28	13	84	16	2	1	15
108	0	83	35	27	7	1	14	24	57	17
109	72	98	31	28	19	87	12	3	0	3
110	74	75	37	30	13	87	17	4	1	6
111	74	74	32	27	2	89	15	1	2	12
112	72	60	31	30	8	89	18	5	2	13
113	21	91	31	29	1	37	64	15	4	54
114	74	56	31	28	1	84	13	5	1	11
115	72	76	34	29	5	82	14	3	0	12
116	73	64	34	28	13	89	16	5	0	13
117	22	55	37	27	12	37	62	6	5	56
118	23	74	34	28	11	32	55	9	7	53
119	75	88	31	28	19	90	15	1	0	8
120	72	90	32	27	19	84	17	3	1	10
121	75	92	33	26	20	90	12	1	2	13
122	73	56	37	30	20	88	18	2	2	19
123	71	71	35	29	14	85	13	5	0	10
124	72	62	36	28	10	83	19	3	0	12
125	72	63	34	28	12	83	14	2	2	13
126	72	74	32	27	2	87	12	5	2	16
127	75	57	33	30	20	81	17	5	2	1
128	72	76	32	26	12	86	19	5	1	14
129	0	74	31	28	8	4	1	32	43	5
130	2	90	33	29	3	0	7	36	32	10
131	73	79	37	28	12	87	19	5	1	12
132	74	87	31	30	5	89	17	5	2	9
133	73	84	34	26	9	90	15	1	2	9
134	1	88	33	27	11	1	12	47	57	11
135	72	87	32	28	16	89	19	3	0	1
136	75	69	35	26	13	83	20	3	1	15
137	22	82	32	26	4	39	53	11	3	48
138	74	79	35	27	5	84	11	3	1	2
139	75	79	37	30	12	87	15	1	1	20
140	73	74	35	30	12	84	12	4	0	11
141	73	84	35	28	20	83	18	1	2	18
142	74	97	34	27	20	84	20	5	1	12
143	2	64	33	28	10	1	12	29	60	3
